County,State,INflow,OUTflow,NET in,GROSS out
LaSalle County,Illinois,4742.0,6259.0,-1582.0,10936.0
LaSalle Parish,Louisiana,647.0,690.0,-53.0,1327.0
Labette County,Kansas,1035.0,1233.0,-215.0,2251.0
Lac Qui Parle County,Minnesota,350.0,502.0,-197.0,807.0
Lackawanna County,Pennsylvania,10964.0,8310.0,2068.0,18688.0
Laclede County,Missouri,1193.0,1515.0,-396.0,2634.0
Lafayette County,Arkansas,11401.0,8603.0,2533.0,19739.0
Lafayette Parish,Louisiana,12156.0,11870.0,-386.0,23354.0
Lafourche Parish,Louisiana,4010.0,4530.0,-707.0,8353.0
Lajas Municipio,Puerto Rico,287.0,421.0,-134.0,708.0
Lake County,California,119953.0,106039.0,5614.0,217692.0
Lake and Peninsula Borough,Alaska,74.0,149.0,-85.0,213.0
Lake of the Woods County,Minnesota,197.0,166.0,31.0,363.0
Lamar County,Alabama,11163.0,8072.0,2931.0,19075.0
Lamb County,Texas,896.0,843.0,42.0,1728.0
Lamoille County,Vermont,2286.0,1881.0,347.0,4109.0
Lampasas County,Texas,1267.0,1798.0,-602.0,2994.0
Lancaster County,Nebraska,54015.0,43426.0,7347.0,94199.0
Lander County,Nevada,309.0,442.0,-176.0,708.0
Lane County,Kansas,29108.0,17508.0,9831.0,44847.0
Langlade County,Wisconsin,1082.0,1338.0,-283.0,2393.0
Lanier County,Georgia,1430.0,1057.0,373.0,2487.0
Lapeer County,Michigan,4734.0,5747.0,-1138.0,10356.0
Laramie County,Wyoming,7421.0,6472.0,613.0,13557.0
Lares Municipio,Puerto Rico,208.0,1396.0,-1200.0,1592.0
Larimer County,Colorado,33342.0,26716.0,5074.0,58506.0
Larue County,Kentucky,937.0,1363.0,-439.0,2287.0
Las Animas County,Colorado,1279.0,903.0,343.0,2149.0
Las Marías Municipio,Puerto Rico,33.0,101.0,-68.0,134.0
Las Piedras Municipio,Puerto Rico,663.0,1865.0,-1202.0,2528.0
Lassen County,California,6099.0,3651.0,2311.0,9613.0
Latah County,Idaho,5209.0,4397.0,483.0,9277.0
Latimer County,Oklahoma,818.0,764.0,29.0,1557.0
Lauderdale County,Alabama,14548.0,9436.0,4437.0,23309.0
Laurel County,Kentucky,2441.0,1819.0,556.0,4194.0
Laurens County,Georgia,5986.0,6144.0,-480.0,11808.0
Lavaca County,Texas,1446.0,904.0,502.0,2310.0
Lawrence County,Alabama,18730.0,18940.0,-758.0,37122.0
Le Flore County,Oklahoma,2798.0,3127.0,-361.0,5893.0
Le Sueur County,Minnesota,1897.0,2076.0,-247.0,3905.0
Lea County,New Mexico,3679.0,3727.0,-368.0,7086.0
Leake County,Mississippi,1149.0,901.0,235.0,2037.0
Leavenworth County,Kansas,11497.0,9027.0,1746.0,19800.0
Lebanon County,Pennsylvania,8251.0,8238.0,-569.0,15907.0
Lee County,Alabama,83746.0,58035.0,18208.0,134278.0
Leelanau County,Michigan,1661.0,1382.0,249.0,3013.0
Leflore County,Mississippi,522.0,1445.0,-934.0,1956.0
