County,State,crime_rate_per_100000,INflow,OUTflow,NET in,GROSS out
camas county,id,95.96928983,69.0,75.0,-12.0,138.0
apache county,az,95.92126116,2332.0,5865.0,-3593.0,8137.0
doddridge county,wv,95.87727709,1021.0,539.0,482.0,1560.0
prairie county,ar,95.53379508,418.0,314.0,104.0,732.0
craig county,ok,95.41984733,1499.0,1487.0,-60.0,2914.0
coahoma county,ms,95.30617107,889.0,1783.0,-894.0,2672.0
gallia county,oh,94.70624735,1282.0,1173.0,98.0,2444.0
dupage county,il,94.62240083,53916.0,58739.0,-10655.0,106823.0
ashtabula county,oh,94.17799641,4720.0,3392.0,1276.0,8060.0
schuyler county,il,94.0354648,1524.0,1466.0,1.0,2933.0
allen parish,la,93.98128206,2000.0,1995.0,-42.0,3948.0
nicollet county,mn,93.84838944,2966.0,3185.0,-245.0,6125.0
sharp county,ar,93.84714646,1110.0,1192.0,-97.0,2287.0
atoka county,ok,93.53863865,1305.0,1501.0,-202.0,2800.0
preble county,oh,93.45346497,1233.0,1572.0,-370.0,2774.0
bergen county,nj,93.26422631,39195.0,43562.0,-11370.0,75754.0
steele county,mn,93.24009324,1982.0,2248.0,-290.0,4206.0
attala county,ms,93.18217114,768.0,371.0,397.0,1139.0
greenbrier county,wv,92.58220177,1226.0,1882.0,-658.0,3106.0
king george county,va,92.27312846,2678.0,2441.0,113.0,4995.0
hubbard county,mn,91.97405364,1598.0,1288.0,278.0,2854.0
presque isle county,mi,91.86954525,483.0,518.0,-51.0,985.0
kearney county,ne,91.63103238,241.0,422.0,-182.0,662.0
edmonson county,ky,91.19548997,1094.0,740.0,337.0,1817.0
yancey county,nc,91.08505067,796.0,621.0,167.0,1409.0
penobscot county,me,90.6340471,9701.0,7609.0,1589.0,16807.0
effingham county,ga,89.98090201,5916.0,5230.0,489.0,10949.0
mathews county,va,89.91794987,637.0,387.0,250.0,1024.0
rockbridge county,va,89.6579549,1552.0,1120.0,357.0,2597.0
real county,tx,89.55223881,345.0,129.0,216.0,474.0
laurel county,ky,88.98141464,2441.0,1819.0,556.0,4194.0
norton county,ks,88.93632159,662.0,893.0,-231.0,1555.0
shawano county,wi,88.85046707,2115.0,1755.0,317.0,3827.0
falls church city,va,88.83624519,2216.0,2324.0,-642.0,4006.0
defiance county,oh,88.23834735,1942.0,1758.0,168.0,3684.0
botetourt county,va,87.87346221,1579.0,2972.0,-1497.0,4447.0
fall river county,sd,87.73212458,500.0,607.0,-112.0,1102.0
fairfax city,va,87.59854837,2947.0,4185.0,-1453.0,6917.0
dickens county,tx,87.29812309,175.0,131.0,44.0,306.0
traverse county,mn,87.08272859,196.0,289.0,-96.0,482.0
king william county,va,86.97272784,777.0,855.0,-110.0,1600.0
hughes county,ok,86.81183535,2807.0,3528.0,-735.0,6321.0
wood county,oh,86.64438668,23975.0,19299.0,3690.0,42288.0
keith county,ne,86.10086101,527.0,617.0,-100.0,1134.0
prince george county,va,85.89912222,5621.0,5147.0,47.0,10341.0
bledsoe county,tn,85.66311035,1436.0,943.0,398.0,2284.0
forsyth county,ga,85.46352447,41574.0,33635.0,5406.0,72676.0
meigs county,oh,85.12087164,2624.0,2078.0,521.0,4677.0
athens county,oh,85.03269894,12034.0,5085.0,6368.0,16538.0
kossuth county,ia,84.8508583,787.0,1004.0,-238.0,1770.0
allamakee county,ia,84.69193309,347.0,661.0,-342.0,980.0
